dataset	n_clusters	eigen_solver	affinity	assign_labels	nmi
zelnik3	2		rbf	kmeans	0.4369415609862255
fourty	2		rbf	kmeans	0.31635918187956436
lsun	2		rbf	kmeans	0.40685973624243604
diamond9	2		rbf	kmeans	0.35905841521232185
ds850	2		rbf	kmeans	0.4426866794906297
elly-2d10c13s	2		rbf	kmeans	0.3053925065144588
pathbased	2		rbf	kmeans	0.490625116899632
R15	2		rbf	kmeans	0.1658866689866587
spherical_6_2	2		rbf	kmeans	0.524252422345723
shapes	2		rbf	kmeans	0.6666666666666666
2dnormals	2		rbf	kmeans	0.6003671099202146
dpc	2		rbf	kmeans	0.4539513553775814
twodiamonds	2		rbf	kmeans	1.0
ds2c2sc13	2		rbf	kmeans	0.43076444504029565
donut3	2		rbf	kmeans	0.5158050056653266
simplex	2		rbf	kmeans	0.5771596324111234
2d-20c-no0	2		rbf	kmeans	0.20264001782999888
disk-5000n	2		rbf	kmeans	0.0001691086620832741
DS-577	2		rbf	kmeans	0.6146932963005345
zoo	2		rbf	kmeans	0.30115708444193284
square3	2		rbf	kmeans	0.5600419546332777
sonar	2		rbf	kmeans	0.008135369308613891
donut1	2		rbf	kmeans	0.25792628716329036
disk-4600n	2		rbf	kmeans	5.794679380860089e-05
sizes5	2		rbf	kmeans	0.4892937256762531
thy	2		rbf	kmeans	0.04253729935582452
cure-t1-2000n-2D	2		rbf	kmeans	0.4249846437668466
blobs	2		rbf	kmeans	0.6322576853265565
dense-disk-5000	2		rbf	kmeans	0.00037925139426727724
heart-statlog	2		rbf	kmeans	0.008468039149283308
dense-disk-3000	2		rbf	kmeans	0.002633047394105857
ds3c3sc6	2		rbf	kmeans	0.4282219167403672
donut2	2		rbf	kmeans	0.004228132957313139
dartboard1	2		rbf	kmeans	8.542470676839779e-16
smile1	2		rbf	kmeans	0.4751193536045724
2d-10c	2		rbf	kmeans	0.4226235304583029
impossible	2		rbf	kmeans	0.45913676857981883
aml28	2		rbf	kmeans	0.005017235785750225
zelnik2	2		rbf	kmeans	0.5035596810686214
banana	2		rbf	kmeans	0.346917765122148
compound	2		rbf	kmeans	0.5877049818119607
zelnik6	2		rbf	kmeans	0.5979727711023262
sizes3	2		rbf	kmeans	0.5100121000865765
spiral	2		rbf	kmeans	0.06864017084884316
sizes2	2		rbf	kmeans	0.4969432877666085
iris	2		rbf	kmeans	0.7336804366512104
hypercube	2		rbf	kmeans	0.5000000000000008
engytime	2		rbf	kmeans	0.7763540666476637
circle	2		rbf	kmeans	0.00040610831864702003
longsquare	2		rbf	kmeans	0.5242826536159872
zelnik1	2		rbf	kmeans	0.12186112054419279
iono	2		rbf	kmeans	0.0866398926818464
square5	2		rbf	kmeans	0.43863245922076954
curves1	2		rbf	kmeans	1.0
3-spiral	2		rbf	kmeans	0.7287351469233798
DS-850	2		rbf	kmeans	0.4426866794906297
rings	2		rbf	kmeans	0.2654874321746692
cure-t2-4k	2		rbf	kmeans	0.33002940023123645
2d-4c-no4	2		rbf	kmeans	0.37060283363467705
disk-1000n	2		rbf	kmeans	0.005722239668479751
complex9	2		rbf	kmeans	0.0007569989344368261
ecoli	2		rbf	kmeans	0.4448507927983877
target	2		rbf	kmeans	0.06305719240727974
3MC	2		rbf	kmeans	0.7226021130478626
xor	2		rbf	kmeans	0.002717188445573061
xclara	2		rbf	kmeans	0.0006988119783836311
cure-t0-2000n-2D	2		rbf	kmeans	0.8358485498884641
dartboard2	2		rbf	kmeans	0.17741668776511776
spherical_5_2	2		rbf	kmeans	0.459775733644998
ds577	2		rbf	kmeans	0.6146932963005345
elliptical_10_2	2		rbf	kmeans	0.41943317446552025
wingnut	2		rbf	kmeans	0.6456421568898156
triangle2	2		rbf	kmeans	0.5621688577484031
smile2	2		rbf	kmeans	0.4878554623329127
disk-4000n	2		rbf	kmeans	0.007029554683149733
jain	2		rbf	kmeans	1.0
2d-4c	2		rbf	kmeans	0.4709884498653947
long1	2		rbf	kmeans	0.0015185138611666042
sizes4	2		rbf	kmeans	0.4894437784870827
curves2	2		rbf	kmeans	2.885407708148147e-06
square4	2		rbf	kmeans	0.42485427680716065
chainlink	2		rbf	kmeans	0.11389913154334949
ds4c2sc8	2		rbf	kmeans	0.35236441338858965
spiralsquare	2		rbf	kmeans	0.5793843946997629
gaussians1	2		rbf	kmeans	1.0
smile3	2		rbf	kmeans	0.3731081035833208
dpb	2		rbf	kmeans	0.4063156433743298
complex8	2		rbf	kmeans	0.001283554058217548
haberman	2		rbf	kmeans	0.014530996406328649
pmf	2		rbf	kmeans	0.005204043339930749
atom	2		rbf	kmeans	0.0024680570151263234
zelnik5	2		rbf	kmeans	0.6669921540718916
long2	2		rbf	kmeans	0.0020909913549653127
2d-4c-no9	2		rbf	kmeans	0.6738715071286832
cassini	2		rbf	kmeans	0.6373071774329672
hepta	2		rbf	kmeans	0.3464810690877856
triangle1	2		rbf	kmeans	0.5771596324111227
