dataset	min_samples	cluster_method	p	n_jobs	nmi
zelnik3	2	xi	1		0.44544440687442244
spherical_4_3	2	xi	1		0.4295115119823241
fourty	2	xi	1		0.6829350518521062
lsun	2	xi	1		0.41410501688895096
diamond9	2	xi	1		0.49963796018011974
ds850	2	xi	1		0.46358678708065654
elly-2d10c13s	2	xi	1		0.4210743867052604
pathbased	2	xi	1		0.43375880703612674
R15	2	xi	1		0.6084306996632715
spherical_6_2	2	xi	1		0.5425868270066624
shapes	2	xi	1		0.4350556489493113
2dnormals	2	xi	1		0.24606267914789906
dpc	2	xi	1		0.4235892732534659
twodiamonds	2	xi	1		0.30745171200203786
ds2c2sc13	2	xi	1		0.5118746448867242
donut3	2	xi	1		0.4983050505942176
simplex	2	xi	1		0.4076814936937103
2d-20c-no0	2	xi	1		0.5855318531720974
disk-5000n	2	xi	1		0.23286269702855175
DS-577	2	xi	1		0.3916874843105547
zoo	2	xi	1		0.5832062194884763
square3	2	xi	1		0.40306546619006856
sonar	2	xi	1		0.2637547407627269
donut1	2	xi	1		0.48476302871068666
disk-4600n	2	xi	1		0.18974164470421603
sizes5	2	xi	1		0.3061928054215707
thy	2	xi	1		0.355865171855328
cure-t1-2000n-2D	2	xi	1		0.4174994069504594
blobs	2	xi	1		0.40054053945854284
dense-disk-5000	2	xi	1		0.254916225217463
heart-statlog	2	xi	1		0.13951285238504416
dense-disk-3000	2	xi	1		0.25251571843646425
ds3c3sc6	2	xi	1		0.41374823610740724
donut2	2	xi	1		0.3166164861965769
dartboard1	2	xi	1		1.0
smile1	2	xi	1		0.5154116514281019
2d-10c	2	xi	1		0.473161761267955
impossible	2	xi	1		0.4942663362082244
aml28	2	xi	1		0.35249161200974993
zelnik2	2	xi	1		0.423061122715562
banana	2	xi	1		0.2615660027645642
compound	2	xi	1		0.42562524595756457
zelnik6	2	xi	1		0.44059574534804086
sizes3	2	xi	1		0.34695757671456373
spiral	2	xi	1		1.0
sizes2	2	xi	1		0.3780322032587643
iris	2	xi	1		0.41421049864576975
hypercube	2	xi	1		0.46102011240891383
engytime	2	xi	1		0.25593770703754126
circle	2	xi	1		0.2958387248615088
longsquare	2	xi	1		0.4925868062863644
zelnik1	2	xi	1		0.42827166443360215
iono	2	xi	1		0.17928946492463985
square5	2	xi	1		0.3714466949898973
curves1	2	xi	1		1.0
3-spiral	2	xi	1		0.4150151593973295
DS-850	2	xi	1		0.46358678708065654
rings	2	xi	1		0.3531932852099743
cure-t2-4k	2	xi	1		0.4138471947895391
2d-4c-no4	2	xi	1		0.3932823899563412
disk-1000n	2	xi	1		0.28612395261001977
complex9	2	xi	1		0.4598150067456795
ecoli	2	xi	1		0.3685213979742783
target	2	xi	1		0.33919766973877646
3MC	2	xi	1		0.42599512904341635
xor	2	xi	1		0.38664144234573633
xclara	2	xi	1		0.3516035017951201
cure-t0-2000n-2D	2	xi	1		0.28315352005444533
dartboard2	2	xi	1		1.0
spherical_5_2	2	xi	1		0.5459987021665264
ds577	2	xi	1		0.3916874843105547
elliptical_10_2	2	xi	1		0.5863009069383622
wingnut	2	xi	1		0.3005533161459908
triangle2	2	xi	1		0.40286062192720895
smile2	2	xi	1		0.511119134486977
disk-4000n	2	xi	1		0.2338421140162902
jain	2	xi	1		0.3048796552033037
2d-4c	2	xi	1		0.3847917884335743
long1	2	xi	1		0.2956658952146573
sizes4	2	xi	1		0.3357800012526113
curves2	2	xi	1		1.0
square4	2	xi	1		0.38980750947910087
chainlink	2	xi	1		0.2656741393080843
ds4c2sc8	2	xi	1		0.47908288167518714
spiralsquare	2	xi	1		0.7323161520059334
gaussians1	2	xi	1		0.3481313661908535
smile3	2	xi	1		0.5797670780043275
dpb	2	xi	1		0.387884027233302
complex8	2	xi	1		0.46551326438541635
haberman	2	xi	1		0.121706650255268
pmf	2	xi	1		0.38721464642718717
atom	2	xi	1		0.30340706380795046
zelnik5	2	xi	1		0.4381827256066426
long2	2	xi	1		0.29529314205999796
2d-4c-no9	2	xi	1		0.4157306805271657
cassini	2	xi	1		0.3772139583297314
hepta	2	xi	1		0.5707899475803506
triangle1	2	xi	1		0.42616697951664484
tae	2	xi	1		0.29949937283797123
twenty	2	xi	1		0.5988111089770699
threenorm	2	xi	1		0.24397334905831278
square2	2	xi	1		0.4124853450770643
flame	2	xi	1		0.2799933601307438
disk-3000n	2	xi	1		0.2729464734424746
d31	2	xi	1		0.6039852734709107
aggregation	2	xi	1		0.47219131949649656
zelnik4	2	xi	1		0.45903711484505194
2sp2glob	2	xi	1		0.5939896913761474
glass	2	xi	1		0.3901085250167422
square1	2	xi	1		0.4205579911561613
2d-3c-no123	2	xi	1		0.3533576676729521
disk-4500n	2	xi	1		0.2577662338960785
sizes1	2	xi	1		0.40700647886250296
long3	2	xi	1		0.2608172065822654
cuboids	2	xi	1		0.3971270957628072
donutcurves	2	xi	1		0.76413265674475
st900	2	xi	1		0.51697989227911
tetra	2	xi	1		0.4655807870524299
zelnik3	2	xi	2		0.4366205301250948
spherical_4_3	2	xi	2		0.44371925837508613
fourty	2	xi	2		0.675666052450154
lsun	2	xi	2		0.40942900044245895
diamond9	2	xi	2		0.4996527550096155
ds850	2	xi	2		0.4750189889441197
elly-2d10c13s	2	xi	2		0.4263243411252158
pathbased	2	xi	2		0.42560180522186686
R15	2	xi	2		0.6179559166875699
spherical_6_2	2	xi	2		0.5345767036844344
shapes	2	xi	2		0.43738376539773133
