dataset	leaf_size	metric	eps	min_samples	nmi
spherical_4_3	50	euclidean	0.2	2	0.08186204499529876
fourty	50	euclidean	0.2	2	0.5701255897059135
lsun	50	euclidean	0.2	2	0.7570871166004569
ds850	50	euclidean	0.2	2	0.8597467658996667
elly-2d10c13s	50	euclidean	0.2	2	0.016029940313682826
pathbased	50	euclidean	0.2	2	0.10302189247955203
R15	50	euclidean	0.2	2	0.8020979540619926
spherical_6_2	50	euclidean	0.2	2	0.3564750719223294
shapes	50	euclidean	0.2	2	0.9595666790087141
2dnormals	50	euclidean	0.2	2	0.09048731499259824
simplex	50	euclidean	0.2	2	1.0
2d-20c-no0	50	euclidean	0.2	2	0.6884824363960966
disk-5000n	50	euclidean	0.2	2	0.24368650144862428
DS-577	50	euclidean	0.2	2	0.7448000418322052
zoo	50	euclidean	0.2	2	0.4708389621216752
square3	50	euclidean	0.2	2	0.2953436446227233
sonar	50	euclidean	0.2	2	0.044741061906836056
disk-4600n	50	euclidean	0.2	2	0.17136903127634145
sizes5	50	euclidean	0.2	2	0.1862400205948381
cure-t1-2000n-2D	50	euclidean	0.2	2	0.9072505493289745
blobs	50	euclidean	0.2	2	0.59006569501128
dense-disk-5000	50	euclidean	0.2	2	0.3192310562308332
dense-disk-3000	50	euclidean	0.2	2	0.25674166037294793
2d-10c	50	euclidean	0.2	2	0.5265252170053679
impossible	50	euclidean	0.2	2	0.7689486273011977
aml28	50	euclidean	0.2	2	0.2553317168152184
zelnik2	50	euclidean	0.2	2	0.07761153151601675
sizes3	50	euclidean	0.2	2	0.22611624916448134
spiral	50	euclidean	0.2	2	1.0
sizes2	50	euclidean	0.2	2	0.25231051632705853
iris	50	euclidean	0.2	2	0.333513347701368
hypercube	50	euclidean	0.2	2	0.997066282760711
engytime	50	euclidean	0.2	2	0.04452361408925027
longsquare	50	euclidean	0.2	2	0.3453213169827007
iono	50	euclidean	0.2	2	0.06653613730160769
square5	50	euclidean	0.2	2	0.2874236076225535
3-spiral	50	euclidean	0.2	2	0.14233659357174677
DS-850	50	euclidean	0.2	2	0.8597467658996667
rings	50	euclidean	0.2	2	0.3659987452625164
cure-t2-4k	50	euclidean	0.2	2	0.8733152380050729
2d-4c-no4	50	euclidean	0.2	2	0.4429805438259319
disk-1000n	50	euclidean	0.2	2	0.19093867364907233
complex9	50	euclidean	0.2	2	0.01427637289187116
ecoli	50	euclidean	0.2	2	0.1797137275550516
target	50	euclidean	0.2	2	0.7901440729227428
3MC	50	euclidean	0.2	2	0.46865840234187767
xor	50	euclidean	0.2	2	0.12579469728465675
xclara	50	euclidean	0.2	2	0.11264768955383943
cure-t0-2000n-2D	50	euclidean	0.2	2	1.0
spherical_5_2	50	euclidean	0.2	2	0.33218711842104215
ds577	50	euclidean	0.2	2	0.7448000418322052
elliptical_10_2	50	euclidean	0.2	2	0.3271168413311067
wingnut	50	euclidean	0.2	2	0.9346630688233653
triangle2	50	euclidean	0.2	2	0.24845608946046666
disk-4000n	50	euclidean	0.2	2	0.23249265025004673
jain	50	euclidean	0.2	2	0.03393007859929618
2d-4c	50	euclidean	0.2	2	0.518019700937665
long1	50	euclidean	0.2	2	0.9562811690095492
sizes4	50	euclidean	0.2	2	0.2117341616014161
square4	50	euclidean	0.2	2	0.29384294028595453
chainlink	50	euclidean	0.2	2	1.0
spiralsquare	50	euclidean	0.2	2	0.7477046615076323
gaussians1	50	euclidean	0.2	2	1.0
complex8	50	euclidean	0.2	2	0.012375536417509499
haberman	50	euclidean	0.2	2	0.07262504490899578
pmf	50	euclidean	0.2	2	0.173862104786904
atom	50	euclidean	0.2	2	0.02742439180230068
long2	50	euclidean	0.2	2	0.9516877336358938
2d-4c-no9	50	euclidean	0.2	2	0.416403825483662
cassini	50	euclidean	0.2	2	1.0
hepta	50	euclidean	0.2	2	0.4592575282879041
triangle1	50	euclidean	0.2	2	0.44662212648886307
tae	50	euclidean	0.2	2	0.3282537649344205
twenty	50	euclidean	0.2	2	0.6390639442215315
threenorm	50	euclidean	0.2	2	0.20870596416918566
square2	50	euclidean	0.2	2	0.29724122258013025
disk-3000n	50	euclidean	0.2	2	0.27649262882101794
d31	50	euclidean	0.2	2	0.6133424726876262
aggregation	50	euclidean	0.2	2	0.05799110282073622
zelnik4	50	euclidean	0.2	2	1.0
2sp2glob	50	euclidean	0.2	2	0.622316013493032
glass	50	euclidean	0.2	2	0.19527101061788732
square1	50	euclidean	0.2	2	0.2972161869496809
2d-3c-no123	50	euclidean	0.2	2	0.08366242106180641
disk-4500n	50	euclidean	0.2	2	0.28372816796202416
sizes1	50	euclidean	0.2	2	0.281149884063866
long3	50	euclidean	0.2	2	0.9568997010278084
cuboids	50	euclidean	0.2	2	1.0
st900	50	euclidean	0.2	2	0.6680795597813044
tetra	50	euclidean	0.2	2	0.3317164272241739
fourty	50	euclidean	0.2	3	0.4712984253426397
lsun	50	euclidean	0.2	3	0.7507636122827548
ds850	50	euclidean	0.2	3	0.8648319891085123
elly-2d10c13s	50	euclidean	0.2	3	0.016029940313682826
R15	50	euclidean	0.2	3	0.7792468750385382
spherical_6_2	50	euclidean	0.2	3	0.22691167262971318
shapes	50	euclidean	0.2	3	0.9595666790087141
2dnormals	50	euclidean	0.2	3	0.07596035690208296
simplex	50	euclidean	0.2	3	1.0
2d-20c-no0	50	euclidean	0.2	3	0.6585437810497852
disk-5000n	50	euclidean	0.2	3	0.2199518922855054
DS-577	50	euclidean	0.2	3	0.7480334711644061
zoo	50	euclidean	0.2	3	0.3938108141757237
square3	50	euclidean	0.2	3	0.1951761409518069
disk-4600n	50	euclidean	0.2	3	0.13474767092558354
sizes5	50	euclidean	0.2	3	0.13018646774935347
